"","ï..Year","Country.Name","Health","Education","HIV"
"1",2017,"Afghanistan","12.62081718","3.37331008911133","0.04"
"2",2017,"Africa Eastern and Southern","6.14907442367817","5.02312994003296","1.46880147501778"
"3",2017,"Africa Western and Central","3.78963052268832","3.43119990825654","0.490048983467965"
"4",2017,"Albania","5.01263571","3.61172008514404","0.04"
"5",2017,"Algeria","6.27938414","6.50538015365601","0.04"
"6",2017,"American Samoa","..","..",".."
"7",2017,"Andorra","6.58945513","3.21708989143372",".."
"8",2017,"Angola","2.79150295","2.46688008308411","0.91"
"9",2017,"Antigua and Barbuda","4.87493944","2.44847989082336",".."
"10",2017,"Arab World","5.28079475147091","..","0.039243356988246"
"11",2017,"Argentina","10.44225502","5.45431995391846","0.14"
"12",2017,"Armenia","10.36270523","2.70759010314941","0.09"
"13",2017,"Aruba","..","..",".."
"14",2017,"Australia","9.26682281","5.12790012359619","0.04"
"15",2017,"Austria","10.38460541","5.3718900680542",".."
"16",2017,"Azerbaijan","3.73651457","2.47381997108459","0.05"
"17",2017,"Bahamas, The","6.6088872","2.41849994659424","0.38"
"18",2017,"Bahrain","4.74279165","2.32452011108398",".."
"19",2017,"Bangladesh","2.43180156","..",".."
"20",2017,"Barbados","6.62216997","4.36638021469116",".."
"21",2017,"Belarus","5.75974846","4.79499006271362","0.2"
"22",2017,"Belgium","10.78312588","6.42534017562866",".."
"23",2017,"Belize","5.79241371","7.45028018951416","0.56"
"24",2017,"Benin","2.61910868","3.53558993339539","0.31"
"25",2017,"Bermuda","..","1.32495999336243",".."
"26",2017,"Bhutan","3.3407371","7.2257399559021","0.11"
"27",2017,"Bolivia","6.4901948","..","0.1"
"28",2017,"Bosnia and Herzegovina","8.93797779","..",".."
"29",2017,"Botswana","6.13453388","7.09999990463257","5.31"
"30",2017,"Brazil","9.47124863","6.32047986984253","0.23"
"31",2017,"British Virgin Islands","..","2.66543006896973",".."
"32",2017,"Brunei Darussalam","2.27036428","..",".."
"33",2017,"Bulgaria","7.5206337","4.09102010726929",".."
"34",2017,"Burkina Faso","6.02940798","5.62846994400024","0.12"
"35",2017,"Burundi","7.90301847","4.76202011108398","0.21"
"36",2017,"Cabo Verde","5.27825785","5.18174982070923",".."
"37",2017,"Cambodia","5.72757244","..","0.08"
"38",2017,"Cameroon","3.49216461","3.15481996536255","0.86"
"39",2017,"Canada","10.83538342","..",".."
"40",2017,"Caribbean small states","6.25991417083316","4.41071999073029","0.43899031936459"
"41",2017,"Cayman Islands","..","..",".."
"42",2017,"Central African Republic","6.6654377","1.75364995002747",".."
"43",2017,"Central Europe and the Baltics","6.56187285786879","4.09102010726929",".."
"44",2017,"Chad","4.55722904","2.45481991767883","0.33"
"45",2017,"Channel Islands","..","..",".."
"46",2017,"Chile","9.06854153","5.41966009140015","0.27"
"47",2017,"China","5.06592178","3.66744995117188",".."
"48",2017,"Colombia","7.67864275","4.53551006317139","0.19"
"49",2017,"Comoros","5.26807404","..","0.01"
"50",2017,"Congo, Dem. Rep.","4.15646648","1.45494997501373","0.28"
"51",2017,"Congo, Rep.","2.51812744","4.44296979904175","1.86"
"52",2017,"Costa Rica","7.04522943","7.06980991363525","0.25"
"53",2017,"Cote d'Ivoire","3.30509853","3.80347990989685","0.43"
"54",2017,"Croatia","6.75844765","3.90566992759705","0.02"
"55",2017,"Cuba","11.7113266","..","0.18"
"56",2017,"Curacao","..","..",".."
"57",2017,"Cyprus","6.59893894","5.75416994094849",".."
"58",2017,"Czech Republic","7.14152622","3.80615997314453",".."
"59",2017,"Denmark","10.03963375","7.75243997573853","0.03"
"60",2017,"Djibouti","2.46476841","3.74855995178223","0.17"
"61",2017,"Dominica","5.45470619","4.7667498588562",".."
"62",2017,"Dominican Republic","5.83058023","3.92026996612549","0.33"
"63",2017,"Early-demographic dividend","4.98915818571992","4.35768985748291","0.217276130844531"
"64",2017,"East Asia & Pacific","6.49685135235294","4.08553981781006",".."
"65",2017,"East Asia & Pacific (excluding high income)","4.81332779548211","3.87649488449097",".."
"66",2017,"East Asia & Pacific (IDA & IBRD countries)","4.81351704873268","3.87649488449097",".."
"67",2017,"Ecuador","7.42857885","4.61426019668579","0.14"
"68",2017,"Egypt, Arab Rep.","5.63305616","..","0.03"
"69",2017,"El Salvador","7.21280336","3.7252299785614","0.17"
"70",2017,"Equatorial Guinea","2.95976138","..",".."
"71",2017,"Eritrea","3.72767901","..","0.09"
"72",2017,"Estonia","6.59183788","4.95629978179932","0.17"
"73",2017,"Eswatini","6.98103666","6.13809013366699","8.64"
"74",2017,"Ethiopia","3.45336151","5.64951992034912","0.17"
"75",2017,"Euro area","10.1674158010238","4.88274002075195","0.0541996784756187"
"76",2017,"Europe & Central Asia","9.25308538079672","4.78077983856201",".."
"77",2017,"Europe & Central Asia (excluding high income)","5.13371427789461","4.09102010726929",".."
"78",2017,"Europe & Central Asia (IDA & IBRD countries)","5.34940312830832","4.09102010726929",".."
"79",2017,"European Union","9.88456863376329","4.61972999572754",".."
"80",2017,"Faroe Islands","..","8.23338031768799",".."
"81",2017,"Fiji","3.18689561","4.65118980407715","0.14"
"82",2017,"Finland","9.12670135","6.36311006546021",".."
"83",2017,"Fragile and conflict affected situations","4.56102791684018","2.70759010314941","0.488513024571267"
"84",2017,"France","11.33276176","5.45160007476807",".."
"85",2017,"French Polynesia","..","..",".."
"86",2017,"Gabon","2.78068829","3.32680988311768","0.69"
"87",2017,"Gambia, The","4.14472675","2.45918989181519","1"
"88",2017,"Georgia","7.05804443","3.57442998886108","0.16"
"89",2017,"Germany","11.32935143","4.88274002075195","0.03"
"90",2017,"Ghana","3.35796332","3.62737989425659","0.78"
"91",2017,"Gibraltar","..","..",".."
"92",2017,"Greece","8.10309219","3.47220993041992","0.04"
"93",2017,"Greenland","..","11.0285596847534",".."
"94",2017,"Grenada","4.65701056","3.17379999160767",".."
"95",2017,"Guam","..","..",".."
"96",2017,"Guatemala","6.13921785","2.95009994506836","0.06"
"97",2017,"Guinea","3.91060591","2.3203399181366","0.59"
"98",2017,"Guinea-Bissau","7.00049543","2.20000004768372","1.18"
"99",2017,"Guyana","4.31911182","4.6647801399231","0.49"
"100",2017,"Haiti","4.78747177","1.5911899805069","0.59"
"101",2017,"Heavily indebted poor countries (HIPC)","4.83207957003094","3.62737989425659","0.747878731233701"
"102",2017,"High income","12.4122017359309","4.88274002075195","0.0774369318916071"
"103",2017,"Honduras","6.98996687","4.93701982498169","0.08"
"104",2017,"Hong Kong SAR, China","..","3.31010007858276",".."
"105",2017,"Hungary","6.75595856","4.61972999572754",".."
"106",2017,"IBRD only","..","..",".."
"107",2017,"Iceland","8.30908108","7.58385992050171","0.04"
"108",2017,"IDA & IBRD total","5.35297820370461","3.91296994686127","0.323034025495673"
"109",2017,"IDA blend","..","..",".."
"110",2017,"IDA only","..","..",".."
"111",2017,"IDA total","..","..",".."
"112",2017,"India","2.93597651","..","0.05"
"113",2017,"Indonesia","2.90417194","2.6699800491333","0.13"
"114",2017,"Iran, Islamic Rep.","8.42790699","3.79040002822876","0.03"
"115",2017,"Iraq","4.19215298","..",".."
"116",2017,"Ireland","7.06397724","3.46884989738464","0.08"
"117",2017,"Isle of Man","..","..",".."
"118",2017,"Israel","7.28954744","6.10272979736328",".."
"119",2017,"Italy","8.6777401","4.04493999481201","0.06"
"120",2017,"Jamaica","6.14843798","5.26016998291016","0.6"
"121",2017,"Japan","10.65627003","..","0.01"
"122",2017,"Jordan","7.98199606","3.22853994369507","0.01"
"123",2017,"Kazakhstan","3.05244446","2.75081992149353","0.17"
"124",2017,"Kenya","4.1409831","5.36668014526367","0.93"
"125",2017,"Kiribati","10.68678665","10.8631601333618",".."
"126",2017,"Korea, Dem. People's Rep.","..","..",".."
"127",2017,"Korea, Rep.","7.10694933","4.32823991775513",".."
"128",2017,"Kosovo","..","..",".."
"129",2017,"Kuwait","4.65326786","6.3654899597168",".."
"130",2017,"Kyrgyz Republic","6.18586302","6.02618980407715","0.11"
"131",2017,"Lao PDR","2.52606821","..","0.14"
"132",2017,"Late-demographic dividend","5.64229803618433","4.22944498062134",".."
"133",2017,"Latin America & Caribbean","8.14816911320689","4.42176485061646","0.194665854126131"
"134",2017,"Latin America & Caribbean (excluding high income)","8.10095718019992","4.43795490264892","0.195740370385997"
"135",2017,"Latin America & the Caribbean (IDA & IBRD countries)","8.0882664227616","4.42176485061646","0.194821723387901"
"136",2017,"Latvia","5.97031736","4.37029981613159",".."
"137",2017,"Least developed countries: UN classification","4.05385158290955","3.45445001125336","0.723895664355291"
"138",2017,"Lebanon","7.7873559","2.13294005393982","0.03"
"139",2017,"Lesotho","10.08778667","8.15688991546631","6.83"
"140",2017,"Liberia","9.09297276","2.76128005981445","0.38"
"141",2017,"Libya","..","..","0.04"
"142",2017,"Liechtenstein","..","..",".."
"143",2017,"Lithuania","6.47513723","3.81220006942749",".."
"144",2017,"Low & middle income","5.30582722883547","3.92026996612549","0.324666858087101"
"145",2017,"Low income","5.39928153707008","2.98144006729126","0.564836260493185"
"146",2017,"Lower middle income","3.87162572718393","4.37884497642517","0.216148450879942"
"147",2017,"Luxembourg","5.25779152","3.56959009170532",".."
"148",2017,"Macao SAR, China","..","2.70557999610901",".."
"149",2017,"Madagascar","4.84431553","2.8364200592041","0.21"
"150",2017,"Malawi","10.88755989","4.03133010864258","1.88"
"151",2017,"Malaysia","3.70413661","4.6753101348877","0.15"
"152",2017,"Maldives","9.24117565","3.88747000694275",".."
"153",2017,"Mali","3.67425632","3.78976988792419","0.33"
"154",2017,"Malta","8.89494133","4.65162992477417",".."
"155",2017,"Marshall Islands","16.07778358","..",".."
"156",2017,"Mauritania","3.33722878","..",".."
"157",2017,"Mauritius","5.80943251","5.02312994003296","0.8"
"158",2017,"Mexico","5.45759058","4.51821994781494","0.16"
"159",2017,"Micronesia, Fed. Sts.","12.21438789","12.4164199829102",".."
"160",2017,"Middle East & North Africa","5.96617438819663","4.2559700012207","0.0326333597039289"
"161",2017,"Middle East & North Africa (excluding high income)","6.63937476830553","..","0.0302183016985931"
"162",2017,"Middle East & North Africa (IDA & IBRD countries)","6.63937476830553","..","0.0302183016985931"
"163",2017,"Middle income","5.30474480504859","4.09102010726929",".."
"164",2017,"Moldova","7.01328516","5.6184401512146","0.27"
"165",2017,"Monaco","1.64274836","1.45792996883392",".."
"166",2017,"Mongolia","4.0050602","4.08859014511108","0.01"
"167",2017,"Montenegro","7.98255444","..","0.04"
"168",2017,"Morocco","5.23467541","..","0.03"
"169",2017,"Mozambique","7.75916147","5.50555992126465","4.36"
"170",2017,"Myanmar","5.08065748","2.08768010139465",".."
"171",2017,"Namibia","8.72573948","9.75998020172119","3.66"
"172",2017,"Nauru","11.5623312","..",".."
"173",2017,"Nepal","4.72173262","4.76722002029419","0.04"
"174",2017,"Netherlands","10.1082983","5.17509984970093","0.03"
"175",2017,"New Caledonia","..","..",".."
"176",2017,"New Zealand","9.01967621","6.25973987579346","0.03"
"177",2017,"Nicaragua","8.33672619","4.35768985748291","0.12"
"178",2017,"Niger","5.57411432","2.5771598815918","0.06"
"179",2017,"Nigeria","3.75336528","..","0.49"
"180",2017,"North America","16.3411911323568","..","0.12"
"181",2017,"North Macedonia","6.5939827","..",".."
"182",2017,"Northern Mariana Islands","..","..",".."
"183",2017,"Norway","10.31589031","7.91198015213013","0.02"
"184",2017,"Not classified","..","..",".."
"185",2017,"OECD members","12.3705091490701","4.95393490791321","0.0965184453980309"
"186",2017,"Oman","3.97070861","5.84018993377686",".."
"187",2017,"Other small states","4.7900997126792","5.02312994003296","1.99450118914525"
"188",2017,"Pacific island small states","4.70342914322967","..",".."
"189",2017,"Pakistan","2.90229392","2.89951992034912","0.1"
"190",2017,"Palau","12.04422569","..",".."
"191",2017,"Panama","6.90812922","2.88224005699158","0.46"
"192",2017,"Papua New Guinea","2.22970963","1.96493005752563","0.4"
"193",2017,"Paraguay","6.60703087","3.08968997001648","0.14"
"194",2017,"Peru","4.91776848","3.93130993843079","0.13"
"195",2017,"Philippines","3.960428","4.40000009536743","0.12"
"196",2017,"Poland","6.5601325","4.5584602355957",".."
"197",2017,"Portugal","9.30583763","5.0156102180481","0.09"
"198",2017,"Post-demographic dividend","12.8131386493344","4.91715502738952","0.0862289700459809"
"199",2017,"Pre-demographic dividend","4.17358632774775","3.63261497020722","0.812184959731797"
"200",2017,"Puerto Rico","..","..",".."
"201",2017,"Qatar","2.977561","2.96745991706848","0.04"
